Al(s), 0, 28.3, 0
AlCl3(s), -704.2, 110.67, -628.8
Al2O3(s), -1675.7, 50.92, -1582.3
Ca2+(aq), -542.96, -55.2, -553.04
CO32-(aq), -676.26, -53.1, -528.1
CO2(aq), -413.8, 117.6, -386
Cl-(aq), -167.16, 56.5, -131.26
H+(aq), 0, 0, 0
HCO2-(aq), -410, 91.6, -335
HCO2H(aq), -410, 164, -356
HCO3-(aq), -691.11, 95, -587.06
H2CO3(aq), -698.7, 191, -623.42
NH3(aq), -80.29, 111, -26.6
OH-(aq), -229.94, -10.54, -157.3
Ag-(aq), 105.58, 72.68, 77.124
BaCl2(s), -858.6, 123.68, -810.4
BaCl2 • 2 H2O (s), -1460.1, 203, -1296.5
BaO(s), -553.5, 70.42, -525.1
Ba(OH)2 • 8 H2O (s), -3342, 427, -2793
BaSO4(s), -1473.2, 132.2, -1362.2
Be(s), 0, 9.5, 0
Be(OH)2(s), -902.5, 51.9, -815
Br(g), 111.884, 175.022, 82.396
Br2(l), 0, 152.2, 0
Br2(g), 30.907, 245.463, 3.11
BrF3(g), -255.6, 292.53, -229.43
HBr(g), -36.4, 198.695, -53.45
Ca(s), 0, 41.42, 0
Ca(g), 178.2, 158.884, 144.3
Ca2+(g), 1925.9,  ,  
CaC2(s), -59.8, 69.96, -64.9
CaCO3 (s; calcite), -1206.92, 92.9, -1128.79
CaCl2(s), -795.8, 104.6, -748.1
CaF2(s), -1219.6, 68.87, -1167.3
CaH2(s), -186.2, 42, -147.2
CaO(s), -635.09, 39.75, -604.03
CaS(s), -482.4, 56.5, -477.4
Ca(OH)2(s), -986.09, 83.39, -898.49
Ca(OH)2(aq), -1002.82, -74.5, -868.07
CaSO4(s), -1434.11, 106.7, -1321.79
C(s| graphite), 0, 5.74, 0
C(s| diamond), 1.895, 2.377, 2.9
C(g), 716.682, 158.096, 671.257
CCl4(l), -135.44, 216.4, -65.21
CCl4(g), -102.9, 309.85, -60.59
CHCl3(liq), -134.47, 201.7, -73.66
CHCl3(g), -103.14, 295.71, -70.34
CH4 (g| methane), -74.81, 186.264, -50.72
C2H2 (g| ethyne), 226.73, 200.94, 209.2
C2H4 (g|ethene), 52.26, 219.56, 68.15
C2H6 (g| ethane), -84.68, 229.6, -32.82
C3H8 (g| propane), -103.8, 269.9, -23.49
C4H10 (g| butane), -888,  ,  
C6H6 (l| benzene), 49.03, 172.8, 124.5
C6H14(l), -198.782, 296.018, -4.035
C8H18(l), -249.952, 361.205, 6.707
CH3OH(l| methanol), -238.66, 126.8, -166.27
CH3OH(g| methanol), -200.66, 239.81, -161.96
C2H5OH(l| ethanol), -277.69, 160.7, -174.78
C2H5OH(g| ethanol), -235.1, 282.7, -168.49
CH3COOH(l), -276.981, 160.666, -173.991
CO(NH2)2(s| urea), -333.5, 104.6, -197.4
CO(g), -110.525, 197.674, -137.168
CO2(g), -393.509, 213.74, -394.359
CS2(g), 117.36, 237.84, 67.12
COCl2(g), -218.8, 283.53, -204.6
Cs(s), 0, 85.23, 0
Cs+(g), 457.964,  ,  
CsCl(s), -443.04, 101.17, -414.53
